id|mods|title|subtitle|text|fail|
two-weeks-iterations||Двухнедельные итерации|увеличивает CAP вдвое на 1 итерацию|||
double||Дубликатор|Удваивает текущий объем работы|||
do-not-remember||Не помню такого|убирает карту и все ее эффекты из игры|||
fixed-cost||Fixed cost|за работу бонусы не полагаются|если доживешь до конца итерации - получишь только CAP|||
t-n-m||T&M|Завершает итерацию<br/>в любой момент с любым результатом|забери все бонусы себе,<br/>CAP не увеличивается|||
find-card||Найди карту|найди нужную карту в любом сбросе|||
new-req-1||Новые требования|заменяет задачу на задачу из руки|||
new-req-2||Новые требования|заменяет задачу на задачу из руки|||
new-req-3||Смена требований|заменяет задачу на задачу из руки|||
new-req-4||Смена требований|заменяет задачу на задачу из руки|||
new-dep-1||Неучтенная зависимость|втягивает в спринт еще одну задачу с руки|||
new-dep-2||Неучтенная зависимость|втягивает в спринт еще одну задачу с руки|||
new-dep-3||Неучтенная зависимость|втягивает в спринт еще одну задачу с руки|||
new-dep-4||Неучтенная зависимость|втягивает в спринт еще одну задачу с руки|||
new-dep-5||Неучтенная зависимость|втягивает в спринт еще одну задачу с руки|||
something-went-wrong-1||Что-то пошло не так|+10 SP задаче|||
something-went-wrong-2||Что-то пошло не так|+10 SP задаче|||
something-went-wrong-3||Что-то пошло не так|+10 SP задаче|||
re-estimate-1||Переоценка|+5 SP задаче|||
re-estimate-2||Переоценка|+5 SP задаче|||
re-estimate-3||Риски|+5 SP задаче|||
re-estimate-4||Риски|+5 SP задаче|||
spike-1||MVP Only|-5 SP задаче|в конце итерации задача возвращается в колоду||
spike-2||MVP Only|-5 SP задаче|в конце итерации задача возвращается в колоду||
spike-3||MVP Only|-5 SP задаче|в конце итерации задача возвращается в колоду||
spike-4||MVP Only|-5 SP задаче|в конце итерации задача возвращается в колоду||
spike-5||MVP Only|-5 SP задаче|в конце итерации задача возвращается в колоду||
spike-6||MVP Only|-5 SP задаче|в конце итерации задача возвращается в колоду||
